node_id1	node_id2	experimental
511145.b1211	511145.b1212	833
511145.b1211	511145.b3294	860
511145.b1211	511145.b1717	860
511145.b1211	511145.b3297	860
511145.b1211	511145.b3312	860
511145.b1211	511145.b3315	860
511145.b1211	511145.b4202	860
511145.b1211	511145.b3301	860
511145.b1211	511145.b3318	860
511145.b1211	511145.b3065	800
511145.b1211	511145.b3308	860
511145.b1211	511145.b3314	860
511145.b1211	511145.b3165	860
511145.b1211	511145.b3703	800
511145.b1211	511145.b3310	860
511145.b1211	511145.b3984	811
511145.b1211	511145.b3231	860
511145.b1211	511145.b3304	860
511145.b1211	511145.b3307	860
511145.b1211	511145.b3306	860
511145.b1211	511145.b3185	860
511145.b1211	511145.b3298	860
511145.b1211	511145.b3983	800
511145.b1211	511145.b3302	860
511145.b1211	511145.b3317	860
511145.b1211	511145.b3311	860
511145.b1211	511145.b3636	860
511145.b1211	511145.b3321	860
511145.b1211	511145.b3303	860
511145.b1211	511145.b3309	860
511145.b1211	511145.b3341	860
511145.b1211	511145.b3230	860
511145.b1211	511145.b2609	860
511145.b1211	511145.b4375	811
511145.b1211	511145.b3305	860
511145.b1211	511145.b3320	860
511145.b1211	511145.b2185	860
511145.b1211	511145.b3637	860
511145.b1211	511145.b3186	860
511145.b1211	511145.b4200	860
511145.b1211	511145.b3342	860
511145.b1211	511145.b3299	800
511145.b1211	511145.b3936	835
511145.b1211	511145.b4203	860
511145.b1211	511145.b3319	861
511145.b1211	511145.b1716	860
511145.b1211	511145.b3316	860
511145.b1211	511145.b3296	860
511145.b1211	511145.b2606	860
511145.b1211	511145.b3313	860
511145.b1211	511145.b3985	860
511145.b2319	511145.b2926	870
511145.b2779	511145.b2926	819
511145.b2779	511145.b3164	833
511145.b1941	511145.b1942	930
511145.b1941	511145.b1946	816
511145.b1941	511145.b2573	835
511145.b1884	511145.b1941	858
511145.b1884	511145.b4146	799
511145.b1884	511145.b2573	848
511145.b1940	511145.b1941	975
511145.b1940	511145.b1946	995
511145.b2573	511145.b3295	826
511145.b2573	511145.b3988	860
511145.b2573	511145.b3987	858
511145.b2573	511145.b3649	826
511145.b2786	511145.b3210	937
511145.b0993	511145.b2786	846
511145.b0993	511145.b2370	952
511145.b0993	511145.b1883	855
511145.b0993	511145.b1489	969
511145.b0993	511145.b3252	873
511145.b0993	511145.b2919	995
511145.b0993	511145.b0995	743
511145.b0993	511145.b1393	995
511145.b0993	511145.b2341	995
511145.b0993	511145.b1887	766
511145.b0993	511145.b3846	995
511145.b0993	511145.b1394	995
511145.b0993	511145.b1794	964
511145.b0993	511145.b3529	873
511145.b0993	511145.b2395	873
511145.b1489	511145.b2786	939
511145.b1489	511145.b2370	995
511145.b1489	511145.b1794	815
511145.b1489	511145.b2218	902
511145.b1794	511145.b2786	712
511145.b1794	511145.b2370	995
511145.b1794	511145.b3210	851
511145.b1794	511145.b3368	706
511145.b1794	511145.b2218	876
511145.b1794	511145.b3804	706
511145.b2218	511145.b2786	701
511145.b2218	511145.b2370	931
511145.b2218	511145.b2919	897
511145.b2218	511145.b2341	897
511145.b2218	511145.b3846	897
511145.b2370	511145.b2786	846
511145.b2370	511145.b3210	892
511145.b2370	511145.b2919	995
511145.b2370	511145.b3252	995
511145.b2370	511145.b2395	995
511145.b2370	511145.b3846	995
511145.b2370	511145.b3529	995
511145.b3210	511145.b3846	937
511145.b3210	511145.b4355	903
511145.b3294	511145.b3981	800
511145.b3294	511145.b4203	999
511145.b3294	511145.b3707	800
511145.b3294	511145.b4506	977
511145.b3294	511145.b3296	999
511145.b3294	511145.b4375	811
511145.b3294	511145.b3314	999
511145.b3294	511145.b4173	800
511145.b3294	511145.b3340	932
511145.b3294	511145.b3318	997
511145.b3294	511145.b3985	997
511145.b3294	511145.b3703	999
511145.b3294	511145.b3341	999
511145.b3294	511145.b3987	814
511145.b3294	511145.b3305	997
511145.b3294	511145.b3649	821
511145.b3294	511145.b3297	999
511145.b3294	511145.b3317	999
511145.b3294	511145.b3986	994
511145.b3294	511145.b3309	997
511145.b3294	511145.b3342	999
511145.b3294	511145.b3636	999
511145.b3294	511145.b3300	800
511145.b3294	511145.b3307	999
511145.b3294	511145.b3319	999
511145.b3294	511145.b3590	804
511145.b3294	511145.b3464	800
511145.b3294	511145.b3988	855
511145.b3294	511145.b3984	997
511145.b3294	511145.b3339	856
511145.b3294	511145.b4200	997
511145.b3294	511145.b4550	800
511145.b3294	511145.b3936	999
511145.b3294	511145.b4202	999
511145.b3294	511145.b3304	999
511145.b3294	511145.b3320	997
511145.b3294	511145.b3306	997
511145.b3294	511145.b3982	800
511145.b3294	511145.b3308	997
511145.b3294	511145.b3302	999
511145.b3294	511145.b3983	997
511145.b3294	511145.b3313	997
511145.b3294	511145.b3980	856
511145.b3294	511145.b3301	998
511145.b3294	511145.b3298	999
511145.b3294	511145.b3315	999
511145.b3294	511145.b3295	800
511145.b3294	511145.b3311	999
511145.b3294	511145.b3312	997
511145.b3294	511145.b3299	985
511145.b3294	511145.b3303	999
511145.b3294	511145.b3316	999
511145.b3294	511145.b3637	999
511145.b3294	511145.b4147	849
511145.b3294	511145.b3321	999
511145.b3294	511145.b3310	999
511145.b0023	511145.b3294	997
511145.b0023	511145.b1717	997
511145.b0023	511145.b3297	999
511145.b0023	511145.b3312	997
511145.b0023	511145.b3315	997
511145.b0023	511145.b4202	999
511145.b0023	511145.b4147	849
511145.b0023	511145.b2569	860
511145.b0023	511145.b3301	997
511145.b0023	511145.b3318	997
511145.b0023	511145.b2784	835
511145.b0023	511145.b3065	999
511145.b0023	511145.b3308	997
511145.b0023	511145.b0953	800
511145.b0023	511145.b3314	999
511145.b0023	511145.b3339	835
511145.b0023	511145.b3165	999
511145.b0023	511145.b4550	800
511145.b0023	511145.b2891	835
511145.b0023	511145.b1089	997
511145.b0023	511145.b0911	800
511145.b0023	511145.b3703	997
511145.b0023	511145.b3310	997
511145.b0023	511145.b3295	800
511145.b0023	511145.b3169	800
511145.b0023	511145.b4506	977
511145.b0023	511145.b4161	800
511145.b0023	511145.b3984	991
511145.b0023	511145.b0296	977
511145.b0023	511145.b3231	997
511145.b0023	511145.b3304	997
511145.b0023	511145.b3981	800
511145.b0023	511145.b0191	835
511145.b0023	511145.b3307	999
511145.b0023	511145.b3306	999
511145.b0023	511145.b3185	997
511145.b0023	511145.b0051	800
511145.b0023	511145.b3203	977
511145.b0023	511145.b3300	800
511145.b0023	511145.b0169	999
511145.b0023	511145.b3298	999
511145.b0023	511145.b3287	800
511145.b0023	511145.b3983	997
511145.b0023	511145.b3302	997
511145.b0023	511145.b2597	890
511145.b0023	511145.b3317	997
511145.b0023	511145.b3980	835
511145.b0023	511145.b1718	864
511145.b0023	511145.b3311	999
511145.b0023	511145.b3636	997
511145.b0023	511145.b3321	999
511145.b0023	511145.b3303	999
511145.b0023	511145.b3309	997
511145.b0023	511145.b3341	999
511145.b0023	511145.b3230	999
511145.b0023	511145.b3988	800
511145.b0023	511145.b2609	999
511145.b0023	511145.b3986	860
511145.b0023	511145.b4375	800
511145.b0023	511145.b3305	997
511145.b0023	511145.b3168	860
511145.b0023	511145.b3320	997
511145.b0023	511145.b1211	860
511145.b0023	511145.b3340	860
511145.b0023	511145.b3985	997
511145.b0023	511145.b3296	999
511145.b0023	511145.b4203	997
511145.b0023	511145.b3590	804
511145.b0023	511145.b1716	997
511145.b0023	511145.b3319	997
511145.b0023	511145.b3342	999
511145.b0023	511145.b3649	829
511145.b0023	511145.b3186	997
511145.b0023	511145.b3987	802
511145.b0023	511145.b3982	800
511145.b0023	511145.b2606	997
511145.b0023	511145.b0093	800
511145.b0023	511145.b4200	999
511145.b0023	511145.b3936	977
511145.b0023	511145.b3637	997
511145.b0023	511145.b3299	977
511145.b0023	511145.b2620	860
511145.b0023	511145.b3316	999
511145.b0023	511145.b2185	997
511145.b0023	511145.b0172	909
511145.b0023	511145.b3313	997
511145.b0093	511145.b3294	800
511145.b0093	511145.b1717	800
511145.b0093	511145.b3297	800
511145.b0093	511145.b3312	800
511145.b0093	511145.b3315	800
511145.b0093	511145.b4202	800
511145.b0093	511145.b0890	796
511145.b0093	511145.b3301	800
511145.b0093	511145.b3318	800
511145.b0093	511145.b3065	800
511145.b0093	511145.b3308	800
511145.b0093	511145.b3314	800
511145.b0093	511145.b3165	800
511145.b0093	511145.b1089	800
511145.b0093	511145.b4520	723
511145.b0093	511145.b3703	800
511145.b0093	511145.b3310	800
511145.b0093	511145.b3705	871
511145.b0093	511145.b3984	800
511145.b0093	511145.b3231	800
511145.b0093	511145.b3304	800
511145.b0093	511145.b3981	800
511145.b0093	511145.b3307	800
511145.b0093	511145.b3306	800
511145.b0093	511145.b3185	800
511145.b0093	511145.b3933	893
511145.b0093	511145.b3300	973
511145.b0093	511145.b0635	886
511145.b0093	511145.b0169	800
511145.b0093	511145.b3298	800
511145.b0093	511145.b3983	800
511145.b0093	511145.b3302	800
511145.b0093	511145.b3317	800
511145.b0093	511145.b3311	800
511145.b0093	511145.b3636	800
511145.b0093	511145.b3321	800
511145.b0093	511145.b3303	800
511145.b0093	511145.b3309	800
511145.b0093	511145.b3341	800
511145.b0093	511145.b3230	800
511145.b0093	511145.b2609	800
511145.b0093	511145.b3305	800
511145.b0093	511145.b3320	800
511145.b0093	511145.b2185	800
511145.b0093	511145.b3637	800
511145.b0093	511145.b3186	800
511145.b0093	511145.b4200	800
511145.b0093	511145.b3342	800
511145.b0093	511145.b3299	800
511145.b0093	511145.b2748	997
511145.b0093	511145.b4203	800
511145.b0093	511145.b3319	800
511145.b0093	511145.b1716	800
511145.b0093	511145.b3316	800
