protein1 protein2 experimental
511145.b0002 511145.b1945 737
511145.b0014 511145.b1000 772
511145.b0014 511145.b1084 845
511145.b0014 511145.b3461 948
511145.b0014 511145.b2614 997
511145.b0014 511145.b2592 999
511145.b0014 511145.b2231 718
511145.b0014 511145.b0473 855
511145.b0014 511145.b0015 999
511145.b0014 511145.b0383 900
511145.b0015 511145.b1378 752
511145.b0015 511145.b3461 858
511145.b0015 511145.b0424 832
511145.b0023 511145.b3297 992
511145.b0023 511145.b0169 945
511145.b0023 511145.b1716 945
511145.b0023 511145.b3590 807
511145.b0023 511145.b4147 981
511145.b0023 511145.b3340 934
511145.b0023 511145.b4506 926
511145.b0023 511145.b0191 800
511145.b0023 511145.b3231 999
511145.b0023 511145.b0957 800
511145.b0023 511145.b3707 800
511145.b0023 511145.b2331 800
511145.b0023 511145.b4202 945
511145.b0023 511145.b2609 945
511145.b0023 511145.b0051 800
511145.b0023 511145.b4375 800
511145.b0023 511145.b3304 945
511145.b0023 511145.b3981 800
511145.b0023 511145.b3169 800
511145.b0023 511145.b3287 975
511145.b0023 511145.b3339 999
511145.b0023 511145.b3298 945
511145.b0023 511145.b3319 945
511145.b0023 511145.b3186 945
511145.b0023 511145.b1717 945
511145.b0023 511145.b3305 945
511145.b0023 511145.b0172 886
511145.b0023 511145.b0296 926
511145.b0023 511145.b2784 999
511145.b0023 511145.b3302 945
511145.b0023 511145.b3636 945
511145.b0023 511145.b3065 945
511145.b0023 511145.b4203 945
511145.b0023 511145.b3295 979
511145.b0023 511145.b3310 945
511145.b0023 511145.b3301 945
511145.b0023 511145.b4550 999
511145.b0023 511145.b3311 945
511145.b0023 511145.b4200 945
511145.b0023 511145.b3309 945
511145.b0023 511145.b0436 800
511145.b0023 511145.b3988 800
511145.b0023 511145.b3321 999
511145.b0023 511145.b3341 945
511145.b0023 511145.b3300 800
511145.b0023 511145.b3230 945
511145.b0023 511145.b3170 800
511145.b0023 511145.b3203 990
511145.b0023 511145.b2569 986
511145.b0023 511145.b3167 800
511145.b0023 511145.b0953 800
511145.b0023 511145.b3984 945
511145.b0023 511145.b3165 945
511145.b0023 511145.b1089 945
511145.b0023 511145.b3308 945
511145.b0023 511145.b3936 926
511145.b0023 511145.b3983 999
511145.b0023 511145.b3980 800
511145.b0023 511145.b1211 850
511145.b0023 511145.b2891 975
511145.b0023 511145.b3985 999
511145.b0023 511145.b3306 945
511145.b0023 511145.b2606 945
511145.b0023 511145.b3185 945
511145.b0023 511145.b3986 934
511145.b0023 511145.b3312 945
511145.b0023 511145.b0911 800
511145.b0023 511145.b3315 945
511145.b0023 511145.b3556 800
511145.b0023 511145.b3299 932
511145.b0023 511145.b3982 800
511145.b0023 511145.b3318 945
511145.b0023 511145.b3317 945
511145.b0023 511145.b3649 809
511145.b0023 511145.b4161 819
511145.b0023 511145.b3296 945
511145.b0023 511145.b3316 945
511145.b0023 511145.b0093 800
511145.b0023 511145.b2185 945
511145.b0023 511145.b3294 945
511145.b0023 511145.b3314 945
511145.b0023 511145.b3703 945
511145.b0023 511145.b2620 934
511145.b0023 511145.b3342 945
511145.b0023 511145.b3307 945
511145.b0023 511145.b3987 807
511145.b0023 511145.b3320 945
511145.b0023 511145.b3303 949
511145.b0023 511145.b0097 800
